ExchangeCode,ShortName
ALFALAVAL,ALFLAV
AMAR,AMAREM
ANDHRABANK,ANDBAN
BANKRAJAS,BANRAJ
BELCERAMIC,BELCER
BLOWPLAST,BLOPLA
BLUEBIRD,BLUBIR
BRANDHOUSE,BRARET
GEODESIC,BVHOLD
CAPF,CAPFIR
CENTBOP,CENBN
COMPUTECH,COMINT
COREEDUTEC,COREDU
CYBERSPACE,CYBINF
CIPL,DCLPOL
DECOLIGHT,DECCER
DHANUS,DHATEC
DISHMAN,DISPHA
EICHER,EICHER
ELAND,ELAAPP
ERAINFRA,ERAINF
ESTL,ESSSTE
ETC,ETCNET
FTCPOF3YDV,FTCPO2
GRABALALK,GLOALO
GLORY,GLOPOL
GTOFFSHORE,GREOFF
GSLNOVA,GSLNOV
SIGROUPIND,HERCHE
HINDDORROL,HINDOR
MICRO,HININK
HINDLEVCHM,HINLC
FSS,HUGSOF
INDIABULLS,INDBUL
JSWISPAT,ISPIND
ITCHOTEL,ITCHOT
JUMBO,JUMBAG
KFA,KINAIR
KLGSYSTEL,KLGSYS
LAKSHMIMIL,LAKMIL
LITL,LANINF
MAWANA,MAWSUG
MICROTECH,MICTEC
MONSANTO,MONSIN
IOLN,NATSYN
NICCO,NICCOR
OCL,OCLIND
PAREKHPLAT,PARPLA
PARRYSUGAR,PARSUG
PATNI,PATCOM
PRITHVI,PRIINF
PRICOL,PRILIM
RAINCALCIN,RAICAL
RENVL,RELENE
RELGOLD,RELGOL
RNRL,RELNAT
RPL,RELPET
ORGINFO,SARELE
SCINTSOFT,SCISOF
SHPRE,SHPREC
SILTAPCHEM,SILCHE
SREINFRA,SRE114
SREINFRA,SRE115
SORILINFRA,STOONE
TREADS,TRELIM
TRICOM,TRIFI
TV-18,TV18
TWILITAKA,TWILIT
VIJAYABANK,VIJBAN
VIKASHMET,VIKMET
VINCARDS,VINCAR
VISHALEXPO,VISEXP
VISUALSOFT,VISUAL
VITALCOMM,VITCOM
WARTSILA,WARNSD
CAROLINFO,WOCLIF
ZANDUREALT,ZANREA
APLAB,APLAB
BPLREFRIG,BPLREF
CREWBOS,CREBOS
FKONCO,DABPHA
DCHL,DECCHR
EXCELCROP,EXCCRO
GEORGWILIM,GEOWIL
HANILERA,HANERA
HINDSPG,HINSPI
HINVDIR,ILFINV
ITIL,INFTE
JINDALDRIL,JINDRI
KOJAMFIN,KOJFIN
NEPCTEX,NEPTEX
NCOPPER,NISCOP
RPGCABLES,RPGCAB
SHRIRAMINV,SHRINV
BALASTEELS,SHRIRA
SYNTHCHEM,SYNCHE
JEYPORE,THEJEY
VDOCONINTL,VIDINT
SYRSGS,SYRSGS
