"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"8364","OPTCUR","USDINR","OPTION","26-May-2023",75.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.4875,7.4725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.3075,"USDINR"
"13583","OPTCUR","USDINR","OPTION","26-May-2023",76,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.2375,7.2225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.515,"USDINR"
"13585","OPTCUR","USDINR","OPTION","26-May-2023",76.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.9875,6.9725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.2675,"USDINR"
"13587","OPTCUR","USDINR","OPTION","26-May-2023",76.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.7375,6.7225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.02,"USDINR"
"13589","OPTCUR","USDINR","OPTION","26-May-2023",76.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.4875,6.4725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.98,"USDINR"
"13591","OPTCUR","USDINR","OPTION","26-May-2023",77,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.2375,6.2225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.73,"USDINR"
"13593","OPTCUR","USDINR","OPTION","26-May-2023",77.25,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.9875,5.9725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.48,"USDINR"
"13595","OPTCUR","USDINR","OPTION","26-May-2023",77.5,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.7375,5.7225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.23,"USDINR"
"13597","OPTCUR","USDINR","OPTION","26-May-2023",77.75,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.4875,5.4725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.98,"USDINR"
"13599","OPTCUR","USDINR","OPTION","26-May-2023",78,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",4.2375,5.2225,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.73,"USDINR"
